4949697,97.7332
720763,1.2631
7640796,67.2641
3042017,58.461
39664128,254.6179
5961083,57.5161
3546588,732.4634
998619,512.3751
22177997,413.5757
10936299,190.1535
1401709,218.2328
1896652,22.9499
12518071,225.4736
6842385,190.9894
3174426,56.8313
2919179,35.7047
4487233,113.6411
4616106,106.8444
1359677,44.0838
6075314,625.8694
6922107,887.4496
9995212,176.7844
5739781,72.0834
2961536,63.1148
6184843,89.9718
1093117,7.5105
1960790,25.5231
3238601,29.5006
1378449,153.965
8870685,1206.2395
2109093,17.3877
19223191,407.9105
10807491,222.294
774008,11.2173
11727377,287.0066
4007179,58.4179
4325290,45.0607
12805190,286.1943
1062583,1027.6431
5342388,177.7182
902542,11.9052
7001803,169.8024
30097526,115.2138
3363182,40.9296
622882,67.5797
8638218,218.7444
7887965,118.6945
1755715,73.0391
5867518,108.3407
582233,5.9967
